trial,timestamp,lookback_period,min_range_duration,max_range_pct,breakout_threshold,swing_window,merge_threshold,min_touches,grid_spacing,exit_profit,stop_loss,decay_factor,max_entries,score,total_trades,win_trades,win_rate,net_profit,max_drawdown,profit_factor,market_changes,trading_pct
26,2026-03-12T01:03:45.832397,75,14,0.1348570870383604,0.04037492653983138,3,0.0251468147340303,4,0.011012986167754443,0.012318929137032543,0.08555846476167754,0.3720201412660767,2,0.5961017282090952,28,25,89.28571428571429,1282.4458535195238,0.0,1.0,0,100.0
27,2026-03-12T01:04:13.790082,79,13,0.11066155563911702,0.04650090625560335,3,0.03237176251405661,5,0.009900280234861917,0.008935361832047626,0.10253316397378905,0.46410369798809503,2,1.0171779170363613,36,35,97.22222222222221,5255.112503696946,0.0,1.0,0,100.0
28,2026-03-12T01:04:45.151313,70,18,0.1387490987440958,0.03718229936345373,3,0.02348242642010011,4,0.012304315965360822,0.01253459486628104,0.09088029242464743,0.38784278453194326,3,0.5796553068594097,30,27,90.0,1096.5530685940964,0.0,1.0,0,100.0
29,2026-03-12T01:05:16.173012,86,19,0.15484134852840623,0.04483529733383351,3,0.02635269570436516,5,0.00803967944924201,0.013137893650652661,0.09880131711930887,0.4522382906745906,2,0.055702623235365345,39,33,84.61538461538461,-3981.435306107885,0.0,1.0,0,100.0
30,2026-03-12T01:05:45.075219,80,9,0.15466489199706734,0.03794198144859044,3,0.02028611103330901,3,0.01068865708794733,0.01571871918050113,0.10016275939275772,0.5168575423173408,2,1.119438504912866,31,29,93.54838709677419,6387.933436225433,0.0,1.0,0,100.0
31,2026-03-12T01:06:11.289722,81,9,0.1534513448320783,0.03866513050813359,3,0.024203242651956107,3,0.010686312907679366,0.015469819636380158,0.10024218725202179,0.5109045325506443,2,1.100996148667775,31,29,93.54838709677419,6203.509873774525,0.0,1.0,0,100.0
32,2026-03-12T01:06:37.509850,85,9,0.12484272331191909,0.03706453099604437,3,0.02724805687399306,3,0.011841210009672372,0.013785772342121782,0.10545191912188759,0.528167190800537,2,0.19371827400868213,27,23,85.18518518518519,-2618.372815468734,0.0,1.0,0,100.0
33,2026-03-12T01:07:07.464927,79,10,0.13231599022240473,0.0349635694357028,4,0.021494353071854367,3,0.013326057631552974,0.012145223541607287,0.09614967241571577,0.5722667347811636,3,0.7262781905559541,30,28,93.33333333333333,2462.7819055595414,0.0,1.0,0,100.0
34,2026-03-12T01:07:40.437797,73,16,0.10972862070778204,0.04069511638096558,4,0.02014284588134421,2,0.009305153029641449,0.014145297444639,0.11554413135408027,0.4853672792360501,6,0.34231963667783977,36,31,86.11111111111111,-1160.1369665549362,0.0,1.0,0,100.0
35,2026-03-12T01:08:06.782250,80,14,0.1464850792875698,0.035628739859429166,3,0.032935178576421156,4,0.010493571816625339,0.013655679815906966,0.10909475064056857,0.38740723207531613,2,1.0985923644825826,36,34,94.44444444444444,6152.590311492492,0.0,1.0,0,100.0
36,2026-03-12T01:08:39.074557,86,8,0.12703462668087692,0.031270097824831936,4,0.02291328579759934,3,0.00849404361908855,0.01590220706918337,0.11913898998553699,0.5254545960320101,3,0.0,41,34,82.92682926829268,-4888.298159108739,0.0,1.0,0,100.0
37,2026-03-12T01:09:20.379679,69,10,0.11480515233760935,0.03447916643811046,3,0.02584983262763945,4,0.01004727719134907,0.007464287276933429,0.10001113691712432,0.4437619037648896,2,1.1287243156229168,63,61,96.82539682539682,6382.481251467263,0.0,1.0,0,100.0
38,2026-03-12T01:09:56.576441,62,12,0.11375993704682594,0.03451814667378711,4,0.02538850371329967,4,0.007223729165609826,0.007647881520431216,0.09448913440885703,0.43502315629282473,3,0.9224727138282272,47,46,97.87234042553192,4288.5569255163155,0.0,1.0,0,100.0
39,2026-03-12T01:10:38.077057,69,10,0.10662274995275442,0.03197234855283928,3,0.02823359447866962,5,0.009698104308964454,0.0069625862490044705,0.08971399601682631,0.36048808253676595,2,0.8219659376187951,61,58,95.08196721311475,3367.200359794509,0.0,1.0,0,100.0
40,2026-03-12T01:11:06.405074,76,20,0.24607541056000976,0.042026487650877416,4,0.036540947322481546,5,0.011985188424897847,0.009719169415693884,0.08594557053284184,0.4113958714799868,2,1.1272300642077768,36,35,97.22222222222221,6355.633975411102,0.0,1.0,0,100.0
41,2026-03-12T01:11:31.852577,76,19,0.2319763807511407,0.04289599984247152,4,0.03512339082145092,5,0.012936479825725811,0.010230879080011848,0.0847890178474233,0.4099249155461923,2,0.4177425286296219,26,23,88.46153846153845,-476.4208675499349,0.0,1.0,0,100.0
42,2026-03-12T01:12:01.164148,70,20,0.19577701721624832,0.04002585957924987,5,0.03691822785034841,5,0.011593934417014161,0.009465110916402463,0.10696176533809866,0.3314904977446145,2,0.7530589345370493,36,34,94.44444444444444,2697.2560120371604,0.0,1.0,0,100.0
43,2026-03-12T01:12:38.559531,63,17,0.22249625794251665,0.04383107319453504,3,0.037515854651151606,5,0.010138106797806223,0.0050707232481728825,0.10139458321503447,0.43989558024527403,2,0.8872615253352256,52,51,98.07692307692307,3930.3075610445635,0.0,1.0,0,100.0
44,2026-03-12T01:13:09.001301,73,13,0.24640705254125925,0.03418734220445864,4,0.03205269963903315,5,0.00883754550119054,0.007700706961905811,0.11377194841703026,0.4150884797261089,2,0.06527624863932086,42,38,90.47619047619048,-4061.5232278925055,0.0,1.0,0,100.0
45,2026-03-12T01:13:42.253340,77,20,0.23696555063010963,0.03639231715966735,5,0.03849882069242921,4,0.01202895393597353,0.011495367353860017,0.09253182424648529,0.4811947153631419,3,0.7673060809459984,33,31,93.93939393939394,2854.878991278166,0.0,1.0,0,100.0
46,2026-03-12T01:14:17.663087,67,11,0.21891469304522435,0.041804270472260006,4,0.034091896693796614,5,0.014280696490295565,0.009177306582727513,0.09764443715953501,0.45784006630580815,2,0.9384982505598021,43,41,95.34883720930233,4524.51738931895,0.0,1.0,0,100.0
47,2026-03-12T01:14:49.684412,82,15,0.1222731395901894,0.028670921290794394,3,0.027591840394620797,5,0.01343723397533068,0.00811497060800146,0.08574116292375607,0.4138228269316811,5,0.6480305359614491,31,30,96.7741935483871,1577.0795531628773,0.0,1.0,0,100.0
48,2026-03-12T01:15:21.996406,74,8,0.13672453701744097,0.038888172774236514,5,0.029429946346167343,4,0.017187086965084867,0.010671401874264432,0.10234603086561322,0.49032591534262826,3,0.7442793568612218,25,24,96.0,2562.793568612219,0.0,1.0,0,100.0
49,2026-03-12T01:15:53.439974,71,10,0.1292655743823857,0.027816132468734468,4,0.03126486867577452,5,0.015345039830783155,0.006562555686266486,0.09558280898012773,0.4442641841577602,4,0.6084141324020005,30,29,96.66666666666667,1184.1413240200045,0.0,1.0,0,100.0
